drug_a,drug_b,severity,mechanism,description
Warfarin,Aspirin,major,Pharmacodynamic synergism + GI injury,"Combined use greatly increases bleeding risk; aspirin impairs platelet aggregation and damages the gastric mucosa while warfarin suppresses clotting factor synthesis."
Warfarin,Ibuprofen,major,CYP2C9 inhibition + platelet impairment,"Ibuprofen inhibits the CYP2C9 enzyme that clears warfarin and also impairs platelet function; the combined effect substantially raises haemorrhage risk."
Warfarin,Naproxen,major,Pharmacodynamic synergism,"Naproxen displaces warfarin from protein-binding sites and inhibits platelet aggregation; gastrointestinal and systemic bleeding risk is significantly elevated."
Warfarin,Fluconazole,major,CYP2C9 inhibition,"Fluconazole potently inhibits CYP2C9; warfarin clearance falls and INR can increase dramatically; serious haemorrhage may occur."
Warfarin,Clarithromycin,major,CYP3A4 and CYP2C9 inhibition,"Clarithromycin inhibits the enzymes that metabolise warfarin; INR rises and haemorrhage risk is substantially increased."
Warfarin,Erythromycin,major,CYP3A4 inhibition,"Erythromycin inhibits CYP3A4-mediated warfarin clearance leading to elevated INR and increased bleeding risk."
Warfarin,Metronidazole,major,CYP2C9 inhibition,"Metronidazole markedly inhibits CYP2C9; warfarin plasma levels can double leading to serious bleeding risk."
Warfarin,Amiodarone,major,CYP2C9 and CYP3A4 inhibition (prolonged effect),"Amiodarone has a very long half-life and persistently inhibits warfarin metabolism; INR may stay elevated for weeks or months after starting amiodarone."
Warfarin,Rifampicin,major,CYP enzyme induction,"Rifampicin potently induces CYP enzymes dramatically reducing warfarin plasma levels; patients may lose anticoagulant protection entirely."
Warfarin,Phenytoin,major,Bidirectional CYP interaction,"Phenytoin initially inhibits then induces warfarin metabolism causing unpredictable INR fluctuations; very close monitoring is essential."
Warfarin,Diclofenac,major,CYP2C9 inhibition + platelet impairment,"Diclofenac inhibits CYP2C9 and platelet function; the combination with warfarin substantially increases gastrointestinal and other bleeding risks."
Warfarin,Clopidogrel,major,Pharmacodynamic synergism,"Combining an anticoagulant with an antiplatelet agent greatly increases haemorrhage risk; use only when clinically justified with close monitoring."
Warfarin,Ciprofloxacin,moderate,CYP enzyme inhibition,"Ciprofloxacin moderately inhibits warfarin metabolism; INR should be monitored after starting or stopping ciprofloxacin."
Warfarin,Omeprazole,moderate,CYP2C19 inhibition,"Omeprazole may modestly increase warfarin exposure; periodic INR monitoring is advisable during co-treatment."
